Name,Description,Spell Books,Traits,Quote
Ariel,"Ariel earned the title of High Priestess and mastered the art of Life magic so that she may aid those in need in the name of her gods. Ariel is also a gifted diplomat thanks to her Charismatic nature. With a mere smile and eloquent speech, she can sweeten any diplomatic deal. Traders and mercenaries are equally swayed by Ariel’s charm and so, offer their services to her advantage",Life (10),Charismatic,May the gods guide my path and grant me a swift victory.
Freya,"Freya hails from the cold northern lands, where her command of Nature magic elevated her to great power and even worship. Her elven heritage and beauty earned her the nickname of the snow nymph.
Attuned to the land from which she hails, Freya’s singular focus allowed her to achieve Nature Mastery, a rare gift that amplifies her command of Nature magic.",Nature (10),Nature Mastery,"By the laws of nature and by my blood rights, only the strongest survive."
Tlaloc,"Tlaloc is the master of rain and storm, some call him Aztec priest, some believe him to be the Rain God incarnate. He is known to accept blood sacrifice and practises blood magic as the source of the most potent power. Tlaloc commands Nature and Death magic but he is also a great Warlord who understands that his common troops may have just as much impact as the magic he wields.","Death (5)
Nature (4)",Warlord,"The skies obey me, blood runs as I command it - now all else must follow."
Tauron,"Tauron is a demonic being wearing human-like skin. His mastery lies with Chaos magic as he seeks to bring disorder to all the worlds. Through his singular fascination with disorder and change, Tauron also possesses the special ability of Chaos Mastery, which increases his command of Chaos magic.",Chaos (10),Chaos Master,"This mortal coil is but a splendid farce, so let us play!"
Sss'ra,"Sss’ra is a draconian warlock who specialises in both chaos and life magic. Unlike most of the other wizards, Sss’ra and his draconian kin are native to Myrror, but in order to become more powerful, the warlock has spent decades travelling and gaining power. As Myrran, Sss’ra is able to inhabit the strange other-world and command one of the races who dwell there.","Chaos (5)
Life (5)",Myrran,"Now, all shall witness the might of the old, the power of the dragon blood!"
Sharee,"Sharee dabbles in the darkest of magical arts, combining Chaos and Death magic. She is an accomplished voodoo priestess and despite her deceptively young visage, she is said to have cheated death many times over. Sharee is a powerful Conjurer, and thus she can call upon the services of many mystical creatures with ease.","Chaos (5)
Death (5)",Conjurer,"By the spirit of damballah, I am the true magickian, others are mere dolls."
Raven,"Raven is a native shaman whose spirit’s journey has taken him to many strange worlds over the years. He is the master of both Nature and Sorcery magic. It is said that as a shaman, Raven’s spirit has had many bodies and lives. As such, he does not possess any particular special ability, focusing instead solely on the mastery of pure magic.","Nature (5)
Sorcery (6)",No Trait,"My spirit guide led me here, now it istime I lead all who are lost."
Rjak,"Rjak is a warlock who mastered Death magic. Their true nature or origin remains a dark mystery. Some say there is no physical body under that strange cloak. Others whisper of their true connection to death itself. Rjak possesses the fearsome ability of Infernal Power, which amplifies their command over places of worship under their control.",Death (9),Infernal Power,"Accept my coming, I am inevitable..."
Lo Pan,"Lo Pan is a Wushen master who specialises in Chaos and Sorcery magic. Through ancient techniques of his forefathers, Lo Pan seeks knowledge and understanding of the inner self. As a Channeler, Lo Pan has developed the ability to channel magic power directly from his location in the enchanted fortress, to his troops on the battlefield. This ability allows him to bypass paying higher mana rates for casting combat spells outside of his fortress.","Chaos (5)
Sorcery (5)",Channeler,The temptation to quit will be greatest when you are about to succeed.
Merlin,"Merlin is the quintessential great wizard, who specialises in Nature and Life magic. His age and origin are shrouded in legend and fairy tale alike. Merlin is known for his infinite wisdom and the pursuit of knowledge and understanding of true magic. As a Sage Master, Merlin learns and researches spells with extra haste.","Nature (5)
Life (5)",Sage Master,I will suffer no fools. Knowledge shall win the day.
Oberic,"Oberic is an elementalist wizard, who specialises in Chaos and Nature magic. Oberic values his independence and the pursuit of ever greater control and unity with the elements. He dislikes governance, and views it as an unfortunate necessity on his path to power. Oberic has the special
ability of Mana Focusing, which significantly increases the amount of magic power he can obtain for his mana reserves.","Nature (5)
Chaos (5)",Mana Focusing,"As the elements obey my call, so shall all who stand in the way of my ascension."
Kali,"Kali is a mystical witch who specialises in Death and Sorcery magic. Her true age and potential remain forever shrouded in mystery and obscured by rumours and whispers. Some say her name is a mere homage to the goddess, some fear there may be more to it. To aid her power, Kali learned the special ability of the Artificer, which allows her to forge magic objects with greater efficiency.","Death (5)
Sorcery (5)",Artificer,"Fear me, love me, either way you shall be mine."
Jafar,"Jafar is a mysterious nomad wizard, renowned for his intricate illusions and specialising in Sorcery magic. He is also a master Alchemist, which allows him to interconvert gold and magic power at no cost. Jafar’s travel-worn visage is thus likely a mere mirage, one of many he chooses to show.
This of course begs the question - what is his true face and design?",Sorcery (9),Alchemist,"Illusion is the first and last of all pleasures, let us enjoy them now."
