Name,Picks,Description
Alchemy,2,"Mastery of the ancient art of Alchemy allows the Wizard to change Gold into Mana and Mana into Gold in a 1 to 1 ratio, instead of losing 1/2 in the exchange process. It also gives all units built in cities magic weapons."
Archmage,1,"Focusing on pure spell power, increases the casting skill of the Wizard by +10, and makes it twice as hard to dispel their spells. There is a 50% bonus to all Mana spent on increasing the skill.
The Wizard must have already selected at least 4 Spellbooks of any single Realm."
Artificer,1,Master of the magical forge. An Artificer reduces the cost of making magical items by 50%. Artificers also begin the game with the Enchant Item and Create Artefact spells.
Channeler,2,"The Channeler masters accuracy and ignores spellcasting range so they do not spend any extra Mana when casting any spell in combat. In addition, a Channeler only pays 50% of the normal spell upkeep."
Chaos Mastery,1,"Mastery over the realm reduces the spell Research time and casting cost of Chaos spells by 15%, makes it twice as hard to dispel Chaos spells, and doubles the magic Power obtained from Chaos nodes. The Wizard must have already selected at least 4 Chaos Spellbooks."
Charismatic,1,"Possesses a magnificent presence that dramatically improves their charm and diplomatic dealings. The Charismatic Wizard pays half for hiring heroes, mercenaries, and purchasing magical items. All diplomatic penalties from negative actions are halved and good effects are doubled."
Conjurer,1,"Master of summoning, the Conjurer reduces the spell Research time and casting cost of all summoning spells by 25% and also reduces the upkeep costs of fantastic creatures by 25%."
Divine Power,2,"Divine influence increases the Power gain and the pacifying effects, lowering unrest, that the Wizard obtains from religious buildings by 50%. The Wizard must have already selected at least 4 Life Spellbooks."
Famous,2,"The Wizard’s renown carries over even into these new worlds. They begin the game with extra 25 Fame. Being famous doubles the chance of the Wizard hiring heroes, recruiting mercenaries, and buying magical items."
Infernal Power,2,"Unholy influence dominates the divine and increases the Power gain and the pacifying effects, lowering unrest, that the Wizard obtains from all their religious buildings by 50%. The Wizard must have already selected at least 4 Death Spellbooks."
Mana Focusing,1,Mastery over the energy that fuels all magic increases the Mana obtained from Power by 25%. The Wizard must have already selected at least 4 Spellbooks of any single Realm. Mana Focusing costs 1 pick.
Myrran,2,"The Wizard hails, or has been accepted as a dweller of Myrror, and so they begin the game there, instead of Arcanus. The Wizard may also rule over a Myrran race: beastmen, dark elves, draconian, dwarves or trolls. The Wizard’s fortress also generates 5 additional Mana."
Nature Mastery,1,"Mastery over the realm reduces the spell Research time and casting cost of Nature spells by 15%, makes it twice as hard to dispel Nature spells, and doubles the magic power obtained from Nature nodes.
The Wizard must have already selected at least 4 Nature Spellbooks."
Node Mastery,1,"Mastery over the places of power doubles the magical Power obtained from all magic nodes. The Wizard’s spells are also immune to the dispelling power of nodes.
The Wizard must have at least 1 Spellbook each, from Nature, Chaos and Sorcery Realms."
Runemaster,1,"Enchanted runes carved by the Wizard allow for the power of all dispel magic type spells to be doubled. In addition, this trait reduces the spell Research time and casting cost of Arcane spells by 25%.
The Wizard requires at least 2 Spellbooks in each of 3 different Realms."
Sorcery Mastery,1,"Mastery over the realm reduces the spell Research time and casting cost of Sorcery spells by 15%, makes it twice as hard to dispel Sorcery spells, and doubles the magic Power obtained from Sorcery nodes.
The Wizard must have already selected at least 4 Sorcery Spellbooks."
